kill,150,150,125,150,125,250,150,150,150,150,100,125,250,150,150,150,
assist_low,20,20,15,20,15,20,20,0,20,20,20,0,20,20,0,20,
assist_mid,40,40,30,40,30,40,40,0,40,40,40,0,40,40,0,40,
assist_high,60,60,45,60,45,60,60,0,60,60,60,0,60,60,0,60,
assist_steal,80,80,60,80,60,80,80,0,80,80,80,0,80,80,0,80,
assist_tactical,50,50,35,50,35,50,50,0,50,50,50,0,50,50,0,50,
assist_painted,50,50,35,50,35,50,50,0,50,50,50,0,50,50,0,50,
assist_painted_expeditionary,50,50,35,50,35,50,50,0,50,50,50,0,50,50,0,50,
crossfire_low,20,20,0,0,0,0,0,20,0,0,0,0,0,20,20,0,
crossfire_mid,40,40,0,0,0,0,0,40,0,0,0,0,0,40,40,0,
crossfire_high,60,60,0,0,0,0,0,60,0,0,0,0,0,60,60,0,
crossfire_steal,80,80,0,0,0,0,0,80,0,0,0,0,0,80,80,0,
crossfire_tactical,50,50,0,0,0,0,0,50,0,0,0,0,0,50,50,0,
crossfire_painted,50,50,0,0,0,0,0,50,0,0,0,0,0,50,50,0,
crossfire_painted_expeditionary,50,50,0,0,0,0,0,50,0,0,0,0,0,50,50,0,
headshot,100,100,85,100,85,100,100,100,100,100,50,50,100,100,100,100,
equipment_destroyed,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,
tac_insert_enemy_destroyed,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,
divisions_infantry_kill,150,150,125,150,125,250,150,150,150,150,100,100,250,150,150,150,
divisions_airborne_kill,150,150,125,150,125,250,150,150,150,150,100,100,250,150,150,150,
divisions_armored_kill,150,150,125,150,125,250,150,150,150,150,100,100,250,150,150,150,
divisions_cavalry_kill,150,150,125,150,125,250,150,150,150,150,100,100,250,150,150,150,
divisions_mountain_kill,150,150,125,150,125,250,150,150,150,150,100,100,250,150,150,150,
division_resistance_kill,150,150,125,150,125,250,150,150,150,150,100,100,250,150,150,150,
division_grenadier_kill,150,150,125,150,125,250,150,150,150,150,100,100,250,150,150,150,
division_commando_kill,150,150,125,150,125,250,150,150,150,150,100,100,250,150,150,150,
uav_destroyed,100,100,100,100,100,100,100,100,100,100,50,50,100,100,100,100,
counter_uav_destroyed,100,100,100,100,100,100,100,100,100,100,50,50,100,100,100,100,
airstrike_destroyed,100,100,100,100,100,100,100,100,100,100,50,50,100,100,100,100,
fire_bombing_run_destroyed,100,100,100,100,100,100,100,100,100,100,50,50,100,100,100,100,
fighter_strike_destroyed,100,100,100,100,100,100,100,100,100,100,50,50,100,100,100,100,
carepackage_plane_destroyed,100,100,100,100,100,100,100,100,100,100,50,50,100,100,100,100,
emergency_carepackage_plane_destroyed,100,100,100,100,100,100,100,100,100,100,50,50,100,100,100,100,
attack_dogs_destroyed,100,100,100,100,100,100,100,100,100,100,50,50,100,100,100,100,
plane_gunner_destroyed,100,100,100,100,100,100,100,100,100,100,50,50,100,100,100,100,
paratroopers_destroyed,100,100,100,100,100,100,100,100,100,100,50,50,100,100,100,100,
luger_mp,8,,,,,,,,,,,,,,,,
1,700,fast_ads,100,,,,,,,,,,,,,,
2,1800,hipfire,200,,,,,,,,,,,,,,
3,3400,head_damage,300,,,,,,,,,,,,,,
4,5500,fmj,400,,,,,,,,,,,,,,
5,8400,extended_mag,500,,,,,,,,,,,,,,
6,12100,extended_range,600,,,,,,,,,,,,,,
7,16900,tactical_knife,700,,,,,,,,,,,,,,
8,22400,suppressor_axis,800,,,,,,,,,,,,,,
m1911_mp,8,,,,,,,,,,,,,,,,
1,700,fast_ads,100,,,,,,,,,,,,,,
2,1800,hipfire,200,,,,,,,,,,,,,,
3,3400,head_damage,300,,,,,,,,,,,,,,
4,5500,fmj,400,,,,,,,,,,,,,,
5,8400,extended_mag,500,,,,,,,,,,,,,,
6,12100,extended_range,600,,,,,,,,,,,,,,
7,16900,tactical_knife,700,,,,,,,,,,,,,,
8,22400,suppressor_allies,800,,,,,,,,,,,,,,
m712_mp,8,,,,,,,,,,,,,,,,
1,700,fast_ads,100,,,,,,,,,,,,,,
2,1800,hipfire,200,,,,,,,,,,,,,,
3,3400,head_damage,300,,,,,,,,,,,,,,
