maxrank,49,,,,,,,,,,,,,,,,,,,,,,,,,,,
maxrankfinalprestige,49,,,,,,,,,,,,,,,,,,,,,,,,,,,
maxprestige,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,pvt1,0,4000,LUA_MENU_DLC3_RANK_BREC,LUA_MENU_DLC3_RANK_BREC1_FULL,shattered_rank_01,4000,,,,,1,1,,LUA_MENU_DLC3_RANK_BREC1_FULL,,,ranked_up_1,,0,,,,,,,,
1,pvt2,4000,8125,LUA_MENU_DLC3_RANK_BREC,LUA_MENU_DLC3_RANK_BREC2_FULL,shattered_rank_01,12125,,,,,2,2,,LUA_MENU_DLC3_RANK_BREC2_FULL,,,ranked_up_2,,3,,,,,,,,
2,pvt3,12125,11073,LUA_MENU_DLC3_RANK_BREC,LUA_MENU_DLC3_RANK_BREC3_FULL,shattered_rank_01,23198,,,,,3,3,,LUA_MENU_DLC3_RANK_BREC3_FULL,,,ranked_up_3,,6,,,,,,,2,
3,pfc1,23198,13560,LUA_MENU_DLC3_RANK_BREC,LUA_MENU_DLC3_RANK_BREC4_FULL,shattered_rank_01,36758,,,,,4,4,,LUA_MENU_DLC3_RANK_BREC4_FULL,,,ranked_up_4,,8,,,,,,,,
4,pfc2,36758,15772,LUA_MENU_DLC3_RANK_BPVT,LUA_MENU_DLC3_RANK_BPVT1_FULL,shattered_rank_02,52530,,,,,5,5,,LUA_MENU_DLC3_RANK_BPVT1_FULL,,,ranked_up_5,,10,10,,,,,,,
5,pfc3,52530,17793,LUA_MENU_DLC3_RANK_BPVT,LUA_MENU_DLC3_RANK_BPVT2_FULL,shattered_rank_02,70323,,,,,6,6,,LUA_MENU_DLC3_RANK_BPVT2_FULL,,,ranked_up_6,,12,,,,,,,,
6,tec51,70323,19671,LUA_MENU_DLC3_RANK_BPVT,LUA_MENU_DLC3_RANK_BPVT3_FULL,shattered_rank_02,89994,,,,,7,7,,LUA_MENU_DLC3_RANK_BPVT3_FULL,,,ranked_up_7,,14,,,,,,,,
7,tec52,89994,21436,LUA_MENU_DLC3_RANK_BPVT,LUA_MENU_DLC3_RANK_BPVT4_FULL,shattered_rank_02,111430,,,,,8,8,,LUA_MENU_DLC3_RANK_BPVT4_FULL,,,ranked_up_8,,16,,,,,,,4,
8,tec53,111430,23108,LUA_MENU_DLC3_RANK_BPVT,LUA_MENU_DLC3_RANK_BPVT5_FULL,shattered_rank_02,134538,,,,,9,9,,LUA_MENU_DLC3_RANK_BPVT5_FULL,,,ranked_up_9,,18,,,,,,,,
9,cpl1,134538,24704,LUA_MENU_DLC3_RANK_BSPEC,LUA_MENU_DLC3_RANK_BSPEC1_FULL,shattered_rank_03,159242,,,,,10,10,,LUA_MENU_DLC3_RANK_BSPEC1_FULL,,,ranked_up_10,,20,,10,,,,,,
10,cpl2,159242,26234,LUA_MENU_DLC3_RANK_BSPEC,LUA_MENU_DLC3_RANK_BSPEC2_FULL,shattered_rank_03,185476,,,,,11,11,,LUA_MENU_DLC3_RANK_BSPEC2_FULL,,,ranked_up_11,,22,,,,,,,,
11,cpl3,185476,27705,LUA_MENU_DLC3_RANK_BSPEC,LUA_MENU_DLC3_RANK_BSPEC3_FULL,shattered_rank_03,213181,,,,,12,12,,LUA_MENU_DLC3_RANK_BSPEC3_FULL,,,ranked_up_12,,24,,,,,,,,
12,tec41,213181,29127,LUA_MENU_DLC3_RANK_BSPEC,LUA_MENU_DLC3_RANK_BSPEC4_FULL,shattered_rank_03,242308,,,,,13,13,,LUA_MENU_DLC3_RANK_BSPEC4_FULL,,,ranked_up_13,,26,,,,,,,6,
13,tec42,242308,30504,LUA_MENU_DLC3_RANK_BSPEC,LUA_MENU_DLC3_RANK_BSPEC5_FULL,shattered_rank_03,272812,,,,,14,14,,LUA_MENU_DLC3_RANK_BSPEC5_FULL,,,ranked_up_14,,28,,,,,,,,
