1,5011384,esports_ui_puck_color_00,
2,13905197,esports_ui_puck_color_01,
3,12078227,esports_ui_puck_color_02,
4,8305199,esports_ui_puck_color_03,
5,6425634,esports_ui_puck_color_04,
6,7738131,esports_ui_puck_color_05,
7,11542584,esports_ui_puck_color_06,
8,7614353,esports_ui_puck_color_07,
9,1662021,esports_ui_puck_color_08,
10,2037694,esports_ui_puck_color_09,
11,1785536,esports_ui_puck_color_10,
12,3779255,esports_ui_puck_color_11,
13,1798574,esports_ui_puck_color_12,
14,12562485,esports_ui_puck_color_13,
15,12949028,esports_ui_puck_color_14,
16,12217383,esports_ui_puck_color_15,
