0,none,CAMO_NONE,CAMO_NONE,icon_camo_default,icon_camo_default,,,,,,0,,
1,greenspot,CAMO_GREENSPOT,CAMO_GREENSPOT_DESC,icon_camo_greenspot,icon_camo_greenspot,,,camo_greenspot,1,,,,
2,brownspot,CAMO_BROWNSPOT,CAMO_BROWNSPOT_DESC,icon_camo_brownspot,icon_camo_brownspot,,,camo_brownspot,1,,,,
3,heeres,CAMO_HEERES,CAMO_HEERES_DESC,icon_camo_heeres,icon_camo_heeres,,,camo_heeres,1,,,,
4,leibermuster,CAMO_LEIBERMUSTER,CAMO_LEIBERMUSTER_DESC,icon_camo_leibermuster,icon_camo_leibermuster,,,camo_leibermuster,1,,,,
5,peapattern,CAMO_PEAPATTERN,CAMO_PEAPATTERN_DESC,icon_camo_peapattern,icon_camo_peapattern,,,camo_peapattern,1,,,,
6,oakleaf,CAMO_OAKLEAF,CAMO_OAKLEAF_DESC,icon_camo_oakleaf,icon_camo_oakleaf,,,camo_oakleaf,1,,,,
7,palmtree,CAMO_PALMTREE,CAMO_PALMTREE_DESC,icon_camo_palmtree,icon_camo_palmtree,,,camo_palmtree,1,,,,
8,planetree,CAMO_PLANETREE,CAMO_PLANETREE_DESC,icon_camo_planetree,icon_camo_planetree,,,camo_planetree,1,,,,
9,panzer,CAMO_PANZER,CAMO_PANZER_DESC,icon_camo_panzer,icon_camo_panzer,,,camo_panzer,1,,,,
10,m1916,CAMO_M1916,CAMO_M1916_DESC,icon_camo_m1916,icon_camo_m1916,,,camo_m1916,1,,,,
11,snow,CAMO_SNOW,CAMO_SNOW_DESC,icon_camo_snow,icon_camo_snow,,,camo_snow,1,,,,
14,leopard,CAMO_LEOPARD,CAMO_LEOPARD_DESC,icon_camo_leopard,icon_camo_leopard,,,camo_leopard,1,,,,
16,gold,CAMO_GOLD,CAMO_GOLD_DESC,icon_camo_gold,icon_camo_gold,,,camo_gold,0,,,,
17,gold_leopard,CAMO_GOLD_LEOPARD,CAMO_GOLD_LEOPARD_DESC,icon_camo_gold_leopard,icon_camo_gold_leopard,,,camo_gold_leopard,0,,,,
19,diamond,CAMO_DIAMOND,CAMO_DIAMOND_DESC,icon_camo_diamond,icon_camo_diamond,,,camo_diamond,0,,,,
21,chrome,CAMO_CHROME,CAMO_CHROME_DESC,icon_camo_chrome,icon_camo_chrome,,,camo_chrome,0,,,,
22,chrome_tiger,CAMO_CHROME_TIGER,CAMO_CHROME_TIGER_DESC,icon_camo_chrome_tiger,icon_camo_chrome_tiger,,,camo_chrome_tiger,0,,,,
23,copper,CAMO_COPPER,CAMO_COPPER_DESC,icon_camo_copper,icon_camo_copper,,,camo_copper,0,,,,
25,bronze,CAMO_BRONZE,CAMO_BRONZE_DESC,icon_camo_bronze,icon_camo_bronze,,,camo_bronze,,,,,
26,camo_mtx5_01,CAMO_RATTLESNAKE,CAMO_RATTLESNAKE_DESC,icon_camo_rattlesnake,icon_camo_rattlesnake,,,camo_rattlesnake,0,,,,
27,camo_mtx7_01,LOOT_MTX7_CAMO_01,CAMO_MOP_DESC,icon_camo_mop,icon_camo_mop,,,camo_mop,0,,,,
28,pap,,,,,,,camo_pap_01,,,1,,
34,zom_preorder,CAMO_ZOM_PREORDER,CAMO_ZOM_PREORDER_DESC,icon_camo_zombie_incentive,icon_camo_zombie_incentive,,,camo_zom_preorder_01,0,,1,,
35,zom_raven,,,,,,,camo_zom_raven_01,,,1,,
36,camo_mtx5_04,CAMO_ZOM_SKIN,CAMO_ZOM_PREORDER_DESC,icon_camo_zom_skin,icon_camo_zom_skin,,,camo_zom_skin_01,0,,,,
37,zom_twitch,CAMO_ZOM_TWITCH,CAMO_ZOM_TWITCH_DESC,icon_camo_zombie_incentive_01,icon_camo_zombie_incentive_01,,,camo_anim_04,0,,1,,
38,camo_mtx3_5_stpatricks_01,CAMO_STPATRICK,CAMO_STPATRICK_DESC,,,,,camo_stpatrick,0,,,,
