1,emblem_shg,LUA_MP_FRONTEND_PATCH_SHG,emblem_shg,default,
2,emblem_incentive_beta,LOOT_INCENTIVE_BETACONTENTPACK_EMBLEM,incentive_betacontentpack_emblem,entitlement,
3,emblem_incentive_code,LOOT_INCENTIVE_CODEPERSONALIZATIONPACK_EMBLEM,incentive_codepersonalizationpack_emblem,entitlement,
4,emblem_incentive_ambassador,LOOT_INCENTIVE_AMBASSADOR_EMBLEM,incentive_ambassador_emblem,entitlement,
5,emblem_incentive_code_fdr,LOOT_MTX4_EMBLEM_INCENTIVE_ENDOWMENT_01,incentive_code_emblem_fdr,entitlement,
6,emblem_incentive_code_monty,LOOT_MTX4_EMBLEM_INCENTIVE_ENDOWMENT_02,incentive_code_emblem_monty,entitlement,
7,emblem_cwl,LOOT_MTX6_EMBLEM_CWL,cwl_emblem,entitlement,
8,emblem_echo_fox,LOOT_MTX6_EMBLEM_CWL_ECHOFOX,cwl_emblem_echo_fox,entitlement,
9,emblem_eplison,LOOT_MTX6_EMBLEM_CWL_EPSILON,cwl_emblem_eplison,entitlement,
10,emblem_eunited,LOOT_MTX6_EMBLEM_CWL_EUNITED,cwl_emblem_eunited,entitlement,
11,emblem_evil_geniuses,LOOT_MTX6_EMBLEM_CWL_EVILGENIUSES,cwl_emblem_evil_geniuses,entitlement,
12,emblem_faze_clan,LOOT_MTX6_EMBLEM_CWL_FAZECLAN,cwl_emblem_faze_clan,entitlement,
13,emblem_luminosity,LOOT_MTX6_EMBLEM_CWL_LUMINOSITY,cwl_emblem_luminosity,entitlement,
14,emblem_mindfreak,LOOT_MTX6_EMBLEM_CWL_MINDFREAK,cwl_emblem_mindfreak,entitlement,
15,emblem_optic_gaming,LOOT_MTX6_EMBLEM_CWL_OPTICGAMING,cwl_emblem_optic_gaming,entitlement,
16,emblem_red_reserve,LOOT_MTX6_EMBLEM_CWL_REDRESERVE,cwl_emblem_red_reserve,entitlement,
