0,none,LUA_MENU_DEFAULT,PERKS_NO_CUSTOM_RETICLE,img_attachment_reticle1,viewmodel_reticle0,,,,0,
1,ret1_reflex,MPUI_RETICLE_REFLEX_01,MPUI_RETICLE_REFLEX_01_DESC,weapon_attachment_ret01_reflex,viewmodel_reticle_reflex_01,,,1,1,
2,ret2_reflex,MPUI_RETICLE_REFLEX_02,MPUI_RETICLE_REFLEX_02_DESC,weapon_attachment_ret02_reflex,viewmodel_reticle_reflex_02,,,1,2,
3,ret3_reflex,MPUI_RETICLE_REFLEX_03,MPUI_RETICLE_REFLEX_03_DESC,weapon_attachment_ret03_reflex,viewmodel_reticle_reflex_03,,,1,3,
4,ret4_reflex,MPUI_RETICLE_REFLEX_04,MPUI_RETICLE_REFLEX_04_DESC,weapon_attachment_ret04_reflex,viewmodel_reticle_reflex_04,,,1,4,
5,ret5_reflex,MPUI_RETICLE_REFLEX_05,MPUI_RETICLE_REFLEX_05_DESC,weapon_attachment_ret05_reflex,viewmodel_reticle_reflex_05,,,1,5,
6,ret6_reflex,MPUI_RETICLE_REFLEX_06,MPUI_RETICLE_REFLEX_06_DESC,weapon_attachment_ret06_reflex,viewmodel_reticle_reflex_06,,,1,6,
7,ret7_reflex,MPUI_RETICLE_REFLEX_07,MPUI_RETICLE_REFLEX_07_DESC,weapon_attachment_ret07_reflex,viewmodel_reticle_reflex_07,,,,7,
8,ret8_reflex,MPUI_RETICLE_REFLEX_08,MPUI_RETICLE_REFLEX_08_DESC,weapon_attachment_ret08_reflex,viewmodel_reticle_reflex_08,,,,8,
9,ret9_reflex,MPUI_RETICLE_REFLEX_09,MPUI_RETICLE_REFLEX_09_DESC,weapon_attachment_ret09_reflex,viewmodel_reticle_reflex_09,,,,9,
10,ret10_reflex,MPUI_RETICLE_REFLEX_10,MPUI_RETICLE_REFLEX_10_DESC,weapon_attachment_ret10_reflex,viewmodel_reticle_reflex_10,,,,10,
11,ret1_scope,MPUI_RETICLE_SCOPE_01,MPUI_RETICLE_SCOPE_01_DESC,weapon_attachment_ret01_scope,viewmodel_reticle_scope_01,,,,1,
12,ret2_scope,MPUI_RETICLE_SCOPE_02,MPUI_RETICLE_SCOPE_02_DESC,weapon_attachment_ret02_scope,viewmodel_reticle_scope_02,,,,2,
13,ret3_scope,MPUI_RETICLE_SCOPE_03,MPUI_RETICLE_SCOPE_03_DESC,weapon_attachment_ret03_scope,viewmodel_reticle_scope_03,,,,3,
14,ret4_scope,MPUI_RETICLE_SCOPE_04,MPUI_RETICLE_SCOPE_04_DESC,weapon_attachment_ret04_scope,viewmodel_reticle_scope_04,,,,4,
15,ret5_scope,MPUI_RETICLE_SCOPE_05,MPUI_RETICLE_SCOPE_05_DESC,weapon_attachment_ret05_scope,viewmodel_reticle_scope_05,,,,5,
16,ret6_scope,MPUI_RETICLE_SCOPE_06,MPUI_RETICLE_SCOPE_06_DESC,weapon_attachment_ret12_scope,viewmodel_reticle_scope_12,,,,12,
17,ret7_scope,MPUI_RETICLE_SCOPE_07,MPUI_RETICLE_SCOPE_07_DESC,weapon_attachment_ret07_scope,viewmodel_reticle_scope_07,,,,7,
18,ret8_scope,MPUI_RETICLE_SCOPE_08,MPUI_RETICLE_SCOPE_08_DESC,weapon_attachment_ret08_scope,viewmodel_reticle_scope_08,,,,8,
19,ret9_scope,MPUI_RETICLE_SCOPE_09,MPUI_RETICLE_SCOPE_09_DESC,weapon_attachment_ret09_scope,viewmodel_reticle_scope_09,,,,9,
20,ret10_scope,MPUI_RETICLE_SCOPE_10,MPUI_RETICLE_SCOPE_10_DESC,weapon_attachment_ret10_scope,viewmodel_reticle_scope_10,,,,10,
21,ret1_lens,MPUI_RETICLE_LENS_01,MPUI_RETICLE_LENS_01_DESC,weapon_attachment_ret01_lens,viewmodel_reticle_lens_01,,,,1,
22,ret2_lens,MPUI_RETICLE_LENS_02,MPUI_RETICLE_LENS_02_DESC,weapon_attachment_ret02_lens,viewmodel_reticle_lens_02,,,,2,
23,ret3_lens,MPUI_RETICLE_LENS_03,MPUI_RETICLE_LENS_03_DESC,weapon_attachment_ret03_lens,viewmodel_reticle_lens_03,,,,3,
24,ret4_lens,MPUI_RETICLE_LENS_04,MPUI_RETICLE_LENS_04_DESC,weapon_attachment_ret04_lens,viewmodel_reticle_lens_04,,,,4,
25,ret5_lens,MPUI_RETICLE_LENS_05,MPUI_RETICLE_LENS_05_DESC,weapon_attachment_ret05_lens,viewmodel_reticle_lens_05,,,,5,
26,ret6_lens,MPUI_RETICLE_LENS_06,MPUI_RETICLE_LENS_06_DESC,weapon_attachment_ret06_lens,viewmodel_reticle_lens_06,,,,6,
27,ret7_lens,MPUI_RETICLE_LENS_07,MPUI_RETICLE_LENS_07_DESC,weapon_attachment_ret07_lens,viewmodel_reticle_lens_07,,,,7,
28,ret8_lens,MPUI_RETICLE_LENS_08,MPUI_RETICLE_LENS_08_DESC,weapon_attachment_ret08_lens,viewmodel_reticle_lens_08,,,,8,
29,ret9_lens,MPUI_RETICLE_LENS_09,MPUI_RETICLE_LENS_09_DESC,weapon_attachment_ret09_lens,viewmodel_reticle_lens_09,,,,9,
30,ret10_lens,MPUI_RETICLE_LENS_10,MPUI_RETICLE_LENS_10_DESC,weapon_attachment_ret10_lens,viewmodel_reticle_lens_10,,,,10,
31,reticle_mtx3_5_lens_01,LOOT_MTX3_5_RETICLE_LENS_01,LOOT_MTX3_5_RETICLE_LENS_01_DESC,s2_ret_mdlc_lens_000,viewmodel_reticle_mdlc_lens_00,,,,13,
32,reticle_mtx3_5_lens_02,LOOT_MTX3_5_RETICLE_LENS_02,LOOT_MTX3_5_RETICLE_LENS_02_DESC,s2_ret_mdlc_lens_001,viewmodel_reticle_mdlc_lens_01,,,,14,
33,reticle_mtx3_5_lens_03,LOOT_MTX3_5_RETICLE_LENS_03,LOOT_MTX3_5_RETICLE_LENS_03_DESC,s2_ret_mdlc_lens_002,viewmodel_reticle_mdlc_lens_02,,,,15,
34,reticle_mtx3_5_lens_04,LOOT_MTX3_5_RETICLE_LENS_04,LOOT_MTX3_5_RETICLE_LENS_04_DESC,s2_ret_mdlc_lens_003,viewmodel_reticle_mdlc_lens_03,,,,16,
35,reticle_mtx3_5_lens_05,LOOT_MTX3_5_RETICLE_LENS_05,LOOT_MTX3_5_RETICLE_LENS_05_DESC,s2_ret_mdlc_lens_004,viewmodel_reticle_mdlc_lens_04,,,,17,
36,reticle_mtx3_5_lens_06,LOOT_MTX3_5_RETICLE_LENS_06,LOOT_MTX3_5_RETICLE_LENS_06_DESC,s2_ret_mdlc_lens_005,viewmodel_reticle_mdlc_lens_05,,,,18,
37,reticle_mtx3_5_lens_07,LOOT_MTX3_5_RETICLE_LENS_07,LOOT_MTX3_5_RETICLE_LENS_07_DESC,s2_ret_mdlc_lens_006,viewmodel_reticle_mdlc_lens_06,,,,19,
38,reticle_mtx3_5_lens_08,LOOT_MTX3_5_RETICLE_LENS_08,LOOT_MTX3_5_RETICLE_LENS_08_DESC,s2_ret_mdlc_lens_007,viewmodel_reticle_mdlc_lens_07,,,,20,
39,reticle_mtx3_5_lens_09,LOOT_MTX3_5_RETICLE_LENS_09,LOOT_MTX3_5_RETICLE_LENS_09_DESC,s2_ret_mdlc_lens_008,viewmodel_reticle_mdlc_lens_08,,,,21,
40,reticle_mtx3_5_lens_10,LOOT_MTX3_5_RETICLE_LENS_10,LOOT_MTX3_5_RETICLE_LENS_10_DESC,s2_ret_mdlc_lens_009,viewmodel_reticle_mdlc_lens_09,,,,22,
41,reticle_mtx3_5_lens_11,LOOT_MTX3_5_RETICLE_LENS_11,LOOT_MTX3_5_RETICLE_LENS_11_DESC,s2_ret_mdlc_lens_010,viewmodel_reticle_mdlc_lens_10,,,,23,
42,reticle_mtx3_5_lens_12,LOOT_MTX3_5_RETICLE_LENS_12,LOOT_MTX3_5_RETICLE_LENS_12_DESC,s2_ret_mdlc_lens_011,viewmodel_reticle_mdlc_lens_11,,,,24,
43,reticle_mtx3_5_lens_13,LOOT_MTX3_5_RETICLE_LENS_13,LOOT_MTX3_5_RETICLE_LENS_13_DESC,s2_ret_mdlc_lens_012,viewmodel_reticle_mdlc_lens_12,,,,25,
