capture_objectiveTime,4,,,,,,,,
capture_time,30,,,,,40,,,
capture_contestable,1,,,,,,,,
capture_reversable,0,,,1,,,,,
capture2x_objectiveTime,6,,,,,,,,
capture2x_time,22.5,,,,,,,,
useHoldBuild_objectiveTime,4,,,,,,,,
useHoldBuild_useTime,15,,,,,,,,
bomb_objectiveTime,4,,,,,,,,
bomb_timer,45,,,,15,,20,30,
bomb_plantTime,3,,,,,,,,
bomb_defuseTime,3,,,,,,,,
escort_objectiveTime,4,,4.5,,,,,4.5,
escort_forwardSpeed,3.5,,4,,,,,4,
escort_rollbackSpeed,1.5,,,,,,,,
escort_turretActive,1,,,,,,,,
escort_contestable,1,,,,,,,,
escort3x_objectiveTime,4,,,,,,,,
escort3x_forwardSpeed,3.5,,,,,,,,
escort3x_rollbackSpeed,1.5,,,,,,,,
escort3x_turretActive,1,,,,,,,,
escort3x_contestable,1,,,,,,,,
ctf_objectiveTime,4,,4.5,,,,,,
ctf_droppedFlagPickupTime,0.25,,,,,0,,,
ctf_flagPickupTime,1.75,,,,,0,,1,
ctf_flagCaptureTime,5.0,,,,,0,,,
ctf_flagReturnTime,1.3,,,,,1.75,,,
ctf_autoReturnTime,15.0,,,,,20,,,
ctf_pingFlagCarrier,0,,,,,,,,
ctf_objectiveScoreGoal,3,,,,,,,2,
ctf_throwDistance,1,,,,,,,0.6,
raid_stopWatch,0,,,,,,,,
raid_respawnType,1,,,,,,,,
raid_attackersRespawn,0,,,,,,,,
raid_defendersRespawn,3,,,,,,,,
raid_scorestreaks,1,,,,,,,,
destroy_objectiveTime,4,,,,5,,,,
destroy_objectHealthPercent,100,,,,,,,,
multibomb_objectiveTime,6,,,,,,4,,
multibomb_objectiveAddTime,0,,,,,,45,,
flags_objectiveTime,4,,,,,,,,
flags_raiseTime_0,15,,,,,,,,
flags_raiseTime_1,15,,,,,,,,
flags_raiseTime_2,15,,,,,,,,
flags_raiseTime_3,20,,,,,,,,
flags_addTime,45,,,,,,,,
airdrop_captureTime,9,,,,,,,,
airdrop_timeout,30,,,,,,,,
airdrop_contestable,1,,,,,,,,
hostage_objectiveTime,4.5,,,,,,,,
hostage_doorUseTime,2.5,,,,,,,,
hostage_untieUseTime,2,,,,,,,,
deathmatch_scoreLimit,25,,,,,25,,,
deathmatch_objectiveTime,5,,,,,5,,,
deathmatch_respawnDelay,3,,,,,3,,,
