m1garand_mp,M1 Garand,1,512,512,512,512,
m1a1_mp,M1A1 Carbine,2,512,512,512,512,
m1941_mp,M1941,3,512,512,512,512,
svt40_mp,SVT40,4,512,512,512,512,
bar_mp,BAR,5,512,512,512,512,
stg44_mp,STG44,6,512,512,512,512,
fg42_mp,FG42,7,512,512,512,512,
lewis_mp,Lewis,8,512,512,512,512,
mg15_mp,MG15,9,512,512,512,512,
mg42_mp,MG42,10,512,512,512,512,
bren_mp,Bren,11,512,512,512,512,
leeenfield_mp,Lee Enfield,12,512,512,512,512,
springfield_mp,Springfield,13,512,512,512,512,
karabin_mp,Karabin,14,512,512,512,512,
kar98_mp,Kar98k,15,512,512,512,512,
winchester1897_mp,Winchester 1897,16,512,512,512,512,
walther_mp,Walther Toggle Action,17,512,512,512,512,
m30_mp,M30 Luftwaffe Drilling,18,512,512,512,512,
thompson_mp,Thompson,19,512,512,512,512,
greasegun_mp,Grease Gun,20,512,512,512,512,
type100_mp,Type 100,21,512,512,512,512,
ppsh41_mp,PPSH41,22,512,512,512,512,
mp28_mp,MP28,23,512,512,512,512,
mp40_mp,MP40,24,512,512,512,512,
m1911_mp,1911,25,512,512,512,512,
luger_mp,Luger,26,512,512,512,512,
bazooka_mp,M1 Bazooka,27,512,512,512,512,
panzerschreck_mp,Panzershreck,28,512,512,512,512,
shovel_mp,Shovel,29,512,512,512,512,
g43_mp,Gewehr 43,30,512,512,512,512,
sten_mp,Sten,31,512,512,512,512,
breda30_mp,GPMG,32,512,512,512,512,
icepick_mp,Ice Pick,33,512,512,512,512,
trenchknife_mp,Trench Knife,34,512,512,512,512,
p38_mp,9mm SAP,35,512,512,512,512,
volk_mp,Volkssturmgewehr,36,512,512,512,512,
beretta_mp,Orso,37,512,512,512,512,
combatknife_mp,Combat Knife,38,512,512,512,512,
enfieldno2_mp,Enfield No. 2,39,512,512,512,512,
reich_mp,Reichsrevolver,40,512,512,512,512,
