mp_battleship_2:36,move,-1988.33,672.0,2376.0,0,360,0,mp_dom_spawn,,,,
mp_battleship_2:9,move,-1988.33,672.0,2376.0,0,360,0,mp_tdm_spawn,,,allies_override,
mp_battleship_2:39,move,-1988.33,672.0,2376.0,0,360,0,mp_hp_spawn,,,,
mp_battleship_2:30,move,-1988.33,672.0,2376.0,0,360,0,mp_ctf_spawn,,,allies_override,
mp_battleship_2:14,move,-1988.33,672.0,2376.0,0,360,0,mp_dm_spawn,,,,
mp_dunkirk:50,skip,,,,,,,mp_dm_spawn,,,,
mp_dunkirk:64,skip,,,,,,,mp_dm_spawn,,,,
mp_france_village:24,move,3337.0,504.0,190.1,0,360,0,mp_sd_spawn_defender,,,tertiary_override,
mp_france_village:25,move,3449.0,584.0,181.3,0,360,0,mp_sd_spawn_defender,,,primary_override,
mp_france_village:26,move,3385.0,628.0,188.5,0,360,0,mp_sd_spawn_defender,,,secondary_override,
mp_france_village:27,move,3341.0,588.0,189.5,0,360,0,mp_sd_spawn_defender,,,tertiary_override,
mp_france_village:28,move,3385.0,464.0,189.4,0,360,0,mp_sd_spawn_defender,,,secondary_override,
mp_france_village:29,move,3449.0,664.0,192.3,0,360,0,mp_sd_spawn_defender,,,primary_override,
mp_france_village:30,move,3449.0,504.0,181.0,0,360,0,mp_sd_spawn_defender,,,primary_override,
mp_france_village:31,move,3385.0,544.0,190.7,0,360,0,mp_sd_spawn_defender,,,secondary_override,
mp_france_village:32,move,3449.0,424.0,184.3,0,360,0,mp_sd_spawn_defender,,,primary_override,
mp_france_village:48,move,3337.0,504.0,190.1,0,360,0,mp_sd_spawn_defender,,,tertiary_override,
mp_france_village:49,move,3449.0,584.0,181.3,0,360,0,mp_sd_spawn_defender,,,primary_override,
mp_france_village:50,move,3385.0,628.0,188.5,0,360,0,mp_sd_spawn_defender,,,secondary_override,
mp_france_village:51,move,3341.0,588.0,189.5,0,360,0,mp_sd_spawn_defender,,,tertiary_override,
mp_france_village:52,move,3385.0,464.0,189.4,0,360,0,mp_sd_spawn_defender,,,secondary_override,
mp_france_village:53,move,3449.0,664.0,192.3,0,360,0,mp_sd_spawn_defender,,,primary_override,
mp_france_village:54,move,3449.0,504.0,181.0,0,360,0,mp_sd_spawn_defender,,,primary_override,
mp_france_village:55,move,3385.0,544.0,190.7,0,360,0,mp_sd_spawn_defender,,,secondary_override,
mp_france_village:56,move,3449.0,424.0,184.3,0,360,0,mp_sd_spawn_defender,,,primary_override,
mp_london:19,move,646,910,128,0,240.3,0,mp_dm_spawn,,,,
mp_london:32,skip,,,,,,,mp_dm_spawn,,,,
donotremove,donotremove,donotremove,donotremove,donotremove,donotremove,donotremove,donotremove,donotremove,donotremove,donotremove,donotremove,
