s,ui_allow_teamchange,b,,0,,,
s,ui_scorelimit,i,,0,0,,
s,ui_timelimit,i,,0,,,
s,ui_halftime,b,,0,,,
s,overtimeTimeLimit,f,,0,0,5,
s,ui_inhostmigration,b,,0,,,
s,ui_inprematch,b,,0,,,
s,ui_override_halftime,i,,0,0,2,
s,ui_showInfo,b,,1,,,
s,ui_showMinimap,b,,1,,,
s,ui_remoteTankUseTime,i,,-1,,,
s,ui_danger_team,s,,,,,
s,scr_gameended,i,,0,0,4,
s,2523,s,,,,,
s,ui_ascend_screen,i,1,0,0,2,
c,ui_hitloc_0,s,,,,,
c,ui_hitloc_1,s,,,,,
c,ui_hitloc_2,s,,,,,
c,ui_hitloc_3,s,,,,,
c,ui_hitloc_4,s,,,,,
c,ui_hitloc_5,s,,,,,
c,ui_hitloc_damage_0,s,,,,,
c,ui_hitloc_damage_1,s,,,,,
c,ui_hitloc_damage_2,s,,,,,
c,ui_hitloc_damage_3,s,,,,,
c,ui_hitloc_damage_4,s,,,,,
c,ui_hitloc_damage_5,s,,,,,
c,cg_objectiveText,s,,,,,
c,g_scriptMainMenu,s,,,,,
c,597,b,,0,,,
c,player_current_floor,i,,0,0,3,
c,3635,b,,0,,,
c,ui_promotion,b,,0,,,
c,ui_challenge_1_ref,s,,,,,
c,ui_challenge_2_ref,s,,,,,
c,ui_challenge_3_ref,s,,,,,
c,ui_challenge_4_ref,s,,,,,
c,ui_challenge_5_ref,s,,,,,
c,ui_challenge_6_ref,s,,,,,
c,ui_challenge_7_ref,s,,,,,
c,ui_class_menu_open,b,,0,,,
c,ui_changeclass_menu_open,b,,0,,,
c,ui_changeteam_menu_open,b,,0,,,
c,ui_controls_menu_open,b,,0,,,
