BROADCASTER_AN_UPLINK_LONG_SHOT,100,0,2,0,
BROADCASTER_AN_UPLINK_DUNK,100,0,2,0,
BROADCASTER_AN_UPLINK_BALL_RESET,50,1,1.25,0,
BROADCASTER_AN_BOMB_PLANTED,100,0,2,1,
BROADCASTER_AN_DEFUSING,100,1,1.25,0,
BROADCASTER_AN_HARDPOINT_NEW,100,0,1.25,0,
BROADCASTER_AN_HARDPOINT_CAPTURING,-1,1,1.25,0,
BROADCASTER_AN_HARDPOINT_CONTEST,-1,1,1.25,0,
BROADCASTER_AN_CTF_PICKUP,50,1,0.8,0,
BROADCASTER_AN_CTF_CAPTURED,100,0,2,0,
BROADCASTER_AN_CTF_KILLCARRIER,50,1,1.25,0,
BROADCASTER_AN_CTF_RETURN,50,1,1.25,0,
BROADCASTER_AN_UPLINK_BALL_PICKUP,50,1,2.0,0,
BROADCASTER_AN_KILLED_DEFUSER,50,1,1.25,0,
BROADCASTER_AN_BOMB_PLANTING,50,1,1.25,1,
BROADCASTER_AN_BOMB_PICKUP,25,1,1.25,0,
BROADCASTER_AN_LAST_MAN_STANDING,75,1,1.25,0,
BROADCASTER_AN_KILLSTREAK,60,0,2,0,
BROADCASTER_AN_MULTIKILL,60,0,2,0,
BROADCASTER_AN_DOM_SECURE_POINT,100,0,2.0,1,
BROADCASTER_AN_CALLED_A_SCORESTREAK,100,0,2.0,2,
BROADCASTER_AN_FIRST_BLOOD,75,1,2,0,
