eyewear,,,0,0,LOOT_NONE_CAPS,,0x6C00000,0,,,,,
eyewear,,,0,4,LOOT_US_PILOT_UNIFORM,,0x6C00004,1,,,,,
eyewear,,,0,5,LOOT_US_ANC_NURSE_UNIFORM,,0x6C00005,1,,,,,
eyewear,,,0,6,LOOT_US_TANKER_UNIFORM,,0x6C00006,1,,,,,
eyewear,,,0,7,LOOT_US_RIVETER_UNIFORM,,0x6C00007,1,,,,,
eyewear,,,0,9,LOOT_BRITISH_DESERT_RAT_UNIFORM,,0x6C00009,1,,,,,
eyewear,,,0,10,LOOT_BRITISH_ATS_OFFICER_UNIFORM,,0x6C0000A,1,,,,,
eyewear,,,0,14,LOOT_CANADA_BLACK_WATCH_UNIFORM,,0x6C0000E,1,,,,,
eyewear,,,0,16,LOOT_FRENCH_MEDIC_UNIFORM,,0x6C00010,1,,,,,
eyewear,,,0,21,LOOT_US_WINTER_UNIFORM,,0x6C00015,1,,,,,
eyewear,,,0,23,LOOT_MTX1_US_WINTER_OVERCOAT,,0x6C00017,1,,,,,
eyewear,,,0,25,LOOT_MTX1_BRITISH_ROYAL_NAVY_UNIFORM,,0x6C00019,1,,,,,
eyewear,,,0,29,LOOT_MTX3_DANISH_RESISTANCE,,0x6C0001D,1,,,,,
eyewear,,,0,36,LOOT_MTX5_SOVIET_ENGINEER,,0x6C00024,1,,,,,
eyewear,,,0,38,LOOT_MTX5_FRENCH_LEGIONNAIRE,,0x6C00026,1,,,,,
eyewear,,,0,39,LOOT_MTX4_BRITISH_TANKER,,0x6C00027,1,,,,,
eyewear,,,0,40,LOOT_MTX4_AUSTRALIAN_INFANTRY,,0x6C00028,1,,,,,
eyewear,,,0,41,LOOT_MTX5_US_ASSAULT,,0x6C00029,1,,,,,
eyewear,,,0,42,LOOT_MTX5_BRITISH_BUTCHER,,0x6C0002A,1,,,,,
eyewear,,,0,43,LOOT_MTX6_ZOMBIE_MOUNTAINEER,,0x6C0002B,1,,,,,
