mode,war,1,
mode,conf,2,
mode,ctf,3,
mode,dom,4,
mode,hp,5,
mode,sd,6,
mode,sr,7,
mode,dm,8,
mode,infect,9,
mode,gun,10,
mode,ball,11,
mode,twar,12,
mode,demo,13,
mode,raid,14,
map,mp_aachen_v2,1,
map,mp_battleship_2,2,
map,mp_canon_farm,3,
map,mp_carentan_s2,4,
map,mp_d_day,5,
map,mp_flak_tower,6,
map,mp_forest_01,7,
map,mp_france_village,8,
map,mp_gibraltar_02,9,
map,mp_london,10,
map,mp_paris_s2,11,
map,mp_wolfslair,12,
map,mp_raid_cobra,13,
map,mp_raid_bulge,14,
map,mp_raid_d_day,15,
map,mp_raid_aachen,16,
