layer,0,0,0,
layer,0,0,0,
layer,0,0,0,
layer,0,0,0,
layer,0,0,0,
layer,0,0,0,
layer,0,0,0,
layer,0,0,0,
layer,0,0,0,
layer,0,0,0,
layer,0,0,0,
layer,0,0,0,
layer,0,0,0,
layer,0,0,0,
layer,0,0,0,
layer,0,0,0,
layer,0,0,0,
layer,0,0,0,
layer,0,0,0,
layer,0,0,0,
layer,0,0,0,
layer,0,0,0,
layer,0,0,0,
layer,0,0,0,
layer,0,0,0,
layer,0,0,0,
layer,0,0,0,
layer,0,0,0,
layer,0,0,0,
layer,0,0,0,
layer,0,0,0,
layer,0,0,0,
category,affordable,,,
category,emblems,,,
category,alphanumeric,,,
category,shapes,,,
category,wwii,,,
category,patterns,,,
icontype,general,EM_ICONTYPE_GENERAL,,
bgcategory,general,EM_BGCATEGORY_GENERAL,,
bgcategory,weapons,EM_BGCATEGORY_WEAPONS,,
bgcategory,gamemodes,EM_BGCATEGORY_GAMEMODES,,
bgcategory,prestige,EM_BGCATEGORY_PRESTIGE,,
bgcategory,dlc,EM_BGCATEGORY_DLC,,
