0,0x6800001,
1,0x6800002,
2,0x6800003,
3,0x6800004,
4,0x6800005,
5,0x6800006,
6,0x6800007,
7,0x6800008,
8,0x6800009,
9,0x680000A,
10,0x680000B,
11,0x680000C,
12,0x680000D,
13,0x680000E,
14,0x680000F,
15,0x6800010,
16,0x6800011,
17,0x6800012,
18,0x6800013,
19,0x6800014,
20,0x6800015,
21,0x6800016,
22,0x6800017,
23,0x6800018,
24,0x6800019,
25,0x680001A,
26,0x680001B,
27,0x680001C,
28,0x680001D,
29,0x680001E,
30,0x680001F,
31,0x6800020,
32,0x6800021,
33,0x6800022,
34,0x6800023,
35,0x6800024,
36,0x6800025,
37,0x6800026,
38,0x6800027,
39,0x6800028,
40,0x6800029,
41,0x680002A,
42,0x680002B,
