eyewear,,,0,27,LOOT_AXIS_GRENADIER_UNIFORM,,0x6C0001B,2,,,
eyewear,,,0,33,LOOT_AXIS_SNIPER_UNIFORM,,0x6C00021,2,,,
eyewear,,,0,34,LOOT_DLC1_AXIS_OFFICER,,0x6C00022,2,,,
eyewear,,,0,37,LOOT_DLC2_AXIS_ENGINEER,,0x6C00025,2,,,
eyewear,,,0,60,LOOT_MTX8_AXIS_MEDIC,,0x6C0003C,2,,,
gear,,,0,2,LOOT_AXIS_INFANTRY_UNIFORM,,0x6700002,2,,,
gear,,,0,27,LOOT_AXIS_GRENADIER_UNIFORM,,0x670001B,2,,,
gear,,,0,31,LOOT_AXIS_TANKER_UNIFORM,,0x670001F,2,,,
gear,,,0,32,LOOT_AXIS_PARATROOPER_UNIFORM,,0x6700020,2,,,
gear,,,0,33,LOOT_AXIS_SNIPER_UNIFORM,,0x6700021,2,,,
gear,,,0,34,LOOT_DLC1_AXIS_OFFICER,,0x6700022,2,,,
gear,,,0,37,LOOT_DLC2_AXIS_ENGINEER,,0x6700025,2,,,
gear,,,0,60,LOOT_MTX8_AXIS_MEDIC,,0x670003C,2,,,
gear,,,0,478,LOOT_ALLIED_FLAMETHROWER_PACK,,0x67001DE,1,,,
gear,,,0,479,LOOT_ALLIED_FLAMETHROWER_PACK,,0x67001DF,2,,,
hat,,,0,2,LOOT_AXIS_INFANTRY_UNIFORM,,0x6600002,2,,,
hat,,,0,27,LOOT_AXIS_GRENADIER_UNIFORM,,0x660001B,2,,,
hat,,,0,31,LOOT_AXIS_TANKER_UNIFORM,,0x660001F,2,,,
hat,,,0,32,LOOT_AXIS_PARATROOPER_UNIFORM,,0x6600020,2,,helmet,
hat,,,0,33,LOOT_AXIS_SNIPER_UNIFORM,,0x6600021,2,,,
hat,,,0,34,LOOT_DLC1_AXIS_OFFICER,,0x6600022,2,,,
hat,,,0,37,LOOT_DLC2_AXIS_ENGINEER,,0x6600025,2,,,
hat,,,0,60,LOOT_MTX8_AXIS_MEDIC,,0x660003C,2,,,
pants,,,0,2,LOOT_AXIS_INFANTRY_UNIFORM,,0x6400002,2,,,
pants,,,0,27,LOOT_AXIS_GRENADIER_UNIFORM,,0x640001B,2,,,
pants,,,0,31,LOOT_AXIS_TANKER_UNIFORM,,0x640001F,2,,,
pants,,,0,32,LOOT_AXIS_PARATROOPER_UNIFORM,,0x6400020,2,,,
pants,,,0,33,LOOT_AXIS_SNIPER_UNIFORM,,0x6400021,2,,,
pants,,,0,34,LOOT_DLC1_AXIS_OFFICER,,0x6400022,2,,,
pants,,,0,37,LOOT_DLC2_AXIS_ENGINEER,,0x6400025,2,,,
pants,,,0,60,LOOT_MTX8_AXIS_MEDIC,,0x640003C,2,,,
shirt,,,0,2,LOOT_AXIS_INFANTRY_UNIFORM,,0x6200002,2,,skin,
shirt,,,0,27,LOOT_AXIS_GRENADIER_UNIFORM,,0x620001B,2,,skin,
shirt,,,0,31,LOOT_AXIS_TANKER_UNIFORM,,0x620001F,2,,,
shirt,,,0,32,LOOT_AXIS_PARATROOPER_UNIFORM,,0x6200020,2,,,
shirt,,,0,33,LOOT_AXIS_SNIPER_UNIFORM,,0x6200021,2,,skin,
shirt,,,0,34,LOOT_DLC1_AXIS_OFFICER,,0x6200022,2,,,
shirt,,,0,37,LOOT_DLC2_AXIS_ENGINEER,,0x6200025,2,,,
shirt,,,0,60,LOOT_MTX8_AXIS_MEDIC,,0x620003C,2,,,
