1,overlord,MPUI_COLLECTION_M1GARAND,1,,
2,overlord,MPUI_COLLECTION_MG15,1,,
3,overlord,MPUI_COLLECTION_PPSH41,1,,
4,overlord,MPUI_COLLECTION_SPRINGFIELD,1,,
5,overlord,MPUI_COLLECTION_US_PARATROOPER,2,,
6,overlord,MPUI_COLLECTION_CANADIANBLACKWATCH,2,,
7,overlord,MPUI_COLLECTION_BAZOOKA,1,,
8,overlord,MPUI_COLLECTION_BRISTISHCOMMANDO,2,,
9,overlord,MPUI_COLLECTION_FG42,1,,
10,overlord,MPUI_COLLECTION_GREASEGUN,1,,
11,overlord,MPUI_COLLECTION_NETHERLANDSINFANTRY,2,,
12,overlord,MPUI_COLLECTION_KARABIN,1,,
13,overlord,MPUI_COLLECTION_LEEENFIELD,1,,
14,overlord,MPUI_COLLECTION_ANCNURSE,2,,
15,overlord,MPUI_COLLECTION_SOVIETINFANTRY,2,,
16,overlord,MPUI_COLLECTION_M1911,1,,
17,overlord,MPUI_COLLECTION_M1941,1,,
18,overlord,MPUI_COLLECTION_M1A1,1,,
19,overlord,MPUI_COLLECTION_USTANKER,2,,
20,overlord,MPUI_COLLECTION_M712,1,,
21,overlord,MPUI_COLLECTION_MG42,1,,
22,overlord,MPUI_COLLECTION_MP28,1,,
23,overlord,MPUI_COLLECTION_MP40,1,,
24,overlord,MPUI_COLLECTION_PANZERSCHRECK,1,,
25,overlord,MPUI_COLLECTION_SHOVEL,1,,
26,overlord,MPUI_COLLECTION_STG44,1,,
27,overlord,MPUI_COLLECTION_SVT40,1,,
28,overlord,MPUI_COLLECTION_CANADIAN_SNIPER,2,,
29,overlord,MPUI_COLLECTION_TYPE100,1,,
30,overlord,MPUI_COLLECTION_TOGGLEACTION,1,,
31,overlord,MPUI_COLLECTION_MODEL21,1,,
32,winter,LOOT_MTX1_COLLECTION_BREDA30,1,,
33,winter,LOOT_MTX1_COLLECTION_GEWEHR43,1,,
34,winter,LOOT_MTX1_COLLECTION_ICEPICK,1,,
35,winter,LOOT_MTX1_COLLECTION_STEN,1,,
36,winter,LOOT_MTX1_COLLECTION_TRENCHKNIFE,1,,
37,winter,LOOT_MTX1_COLLECTION_BRITISH_ROYAL_NAVY,2,,
38,winter,LOOT_MTX1_COLLECTION_POLISH_WINTER,2,,
39,winter,LOOT_MTX1_COLLECTION_RUSSIAN_WINTER_TRENCH,2,,
40,winter,LOOT_MTX1_COLLECTION_US_WINTER_TRENCH,2,,
41,resistance,LOOT_MTX2_COLLECTION_BERETTA28,1,,
42,resistance,LOOT_MTX2_COLLECTION_COMBATKNIFE,1,,
43,resistance,LOOT_MTX2_COLLECTION_FRENCHRESISTANCE,2,,
44,resistance,LOOT_MTX2_COLLECTION_SOVIETRESISTANCE,2,,
45,resistance,LOOT_MTX2_COLLECTION_VOLK,1,,
46,resistance,LOOT_MTX3_COLLECTION_DANISHRESISTANCE,2,,
47,resistance,LOOT_MTX3_COLLECTION_ENFIELDNO2,1,,
48,resistance,LOOT_MTX3_COLLECTION_ITALIANRESISTANCE,2,,
49,resistance,LOOT_MTX3_COLLECTION_REICHSREVOLVER,1,,
50,resistance,LOOT_MTX3_COLLECTION_WALTHERP38,1,,
51,overlord,LOOT_MTX3_5_COLLECTION_WAFFENSCHMIEDE,1,,
52,overlord,LOOT_MTX3_5_COLLECTION_ROLLING_THUNDER,1,,
53,overlord,LOOT_MTX3_5_COLLECTION_SWEETIE,1,,
54,overlord,LOOT_MTX3_5_COLLECTION_WINTERS_WILD,1,,
55,overlord,LOOT_MTX3_5_COLLECTION_TIN_OPENERS,2,,
56,overlord,LOOT_MTX3_5_COLLECTION_DEFENSE_SAPPER,2,,
57,overlord,LOOT_MTX3_5_COLLECTION_TRAILBLAZERS,2,,
58,overlord,LOOT_MTX3_5_COLLECTION_FLYING_ACE,2,,
59,special,LOOT_MTX3_5_COLLECTION_MAS38,1,,
60,special,LOOT_MTX3_5_COLLECTION_MG81,1,,
61,overlord,LOOT_MTX4_COLLECTION_TYPE5,1,,
62,overlord,LOOT_MTX4_COLLECTION_M2CARBINE,1,,
63,escalation,LOOT_MTX4_COLLECTION_M1935,1,,
64,escalation,LOOT_MTX4_COLLECTION_STERLING,1,,
65,overlord,LOOT_MTX4_COLLECTION_ARISAKA,1,,
66,escalation,LOOT_MTX4_COLLECTION_BASEBALLBAT,1,,
67,overlord,LOOT_MTX4_COLLECTION_AUSTRALIANINFANTRY,2,,
68,escalation,LOOT_MTX4_COLLECTION_BRITISHTANKER,2,,
69,undead,LOOT_MTX5_COLLECTION_NAMBU,1,,
70,overlord,LOOT_MTX5_COLLECTION_M1919,1,,
71,overlord,LOOT_MTX5_COLLECTION_LEVERACTION,1,,
72,undead,LOOT_MTX5_COLLECTION_PTRS41,1,,
73,overlord,LOOT_MTX5_COLLECTION_BLUNDERBUSS,1,,
74,undead,LOOT_MTX5_COLLECTION_AXE,1,,
75,overlord,LOOT_MTX5_COLLECTION_SWORD,1,,
76,overlord,LOOT_MTX5_COLLECTION_SOVIETENGINEER,2,,
77,overlord,LOOT_MTX5_COLLECTION_FRENCHLEGION,2,,
78,overlord,LOOT_MTX5_COLLECTION_USASSAULT,2,,
79,overlord,LOOT_MTX5_COLLECTION_BUTCHER,2,,
80,undead,LOOT_MTX5_COLLECTION_ZOMBIESLAYER,2,,
81,confrontation,LOOT_MTX6_COLLECTION_AVS36,1,,
82,confrontation,LOOT_MTX6_COLLECTION_ZK383,1,,
83,overlord,LOOT_MTX6_COLLECTION_DELISLE,1,,
84,overlord,LOOT_MTX6_COLLECTION_DAGGER,1,,
85,confrontation,LOOT_MTX6_COLLECTION_NEWZEALANDCAVALRY,2,,
86,overlord,LOOT_MTX6_COLLECTION_ENGLISHCAVALRY,2,,
87,overlord,LOOT_MTX6_COLLECTION_RUSSIANCOSSACK,2,,
88,confrontation,LOOT_MTX6_COLLECTION_FOREFATHER,2,,
89,summer,LOOT_MTX7_COLLECTION_FEDEROV,1,,
90,summer,LOOT_MTX7_COLLECTION_RIBEYROLLES,1,,
91,overlord,LOOT_MTX7_COLLECTION_MOSIN,1,,
92,overlord,LOOT_MTX7_COLLECTION_CRUISER,1,,
93,summer,LOOT_MTX7_COLLECTION_NEWZEALANDSUMMER,2,,
94,summer,LOOT_MTX7_COLLECTION_USSUMMERINFANTRY,2,,
95,overlord,LOOT_MTX7_COLLECTION_ENGLISHSUMMERCAVALRY,2,,
96,overlord,LOOT_MTX8_COLLECTION_SUDAEV,1,,
97,liberation,LOOT_MTX8_COLLECTION_TOKYO,1,,
98,liberation,LOOT_MTX8_COLLECTION_VMG1927,1,,
99,liberation,LOOT_MTX8_COLLECTION_BRITISHINFILTRATOR,2,,
100,liberation,LOOT_MTX8_COLLECTION_RUSSIANOPERATOR,2,,
101,overlord,LOOT_MTX8_COLLECTION_POLISHSPECOPS,2,,
102,halloween,LOOT_MTX9_COLLECTION_CHARLTON,1,,
103,halloween,LOOT_MTX9_COLLECTION_EMP44,1,,
104,overlord,LOOT_MTX9_COLLECTION_SDK,1,,
105,overlord,LOOT_MTX9_COLLECTION_CROSSBOW,1,,
106,overlord,LOOT_MTX9_COLLECTION_HAMMER,1,,
107,halloween,LOOT_MTX9_COLLECTION_GRIMREAPER,2,,
108,halloween,LOOT_MTX9_COLLECTION_SCARECROW,2,,
donotremove,donotremove,donotremove,donotremove,donotremove,
