version,version_id,1,,,,,,,,,,,,,,,
product,200codpoints,134217751,igs_cod_points_200,codpoints,all,0,,,,,,1,LUA_MENU_STORE_200_CODPOINTS,LUA_MENU_STORE_200_CODPOINTS_SHORT,LUA_MENU_STORE_200_CODPOINTS_LONG,,
product,1100codpoints,134217754,igs_cod_points_1100,codpoints,all,0,,,,,,1,LUA_MENU_STORE_1100_CODPOINTS,LUA_MENU_STORE_1100_CODPOINTS_SHORT,LUA_MENU_STORE_1100_CODPOINTS_LONG,,
product,2400codpoints,134217757,igs_cod_points_2400,codpoints,all,0,igs2400,0,768,,,1,LUA_MENU_STORE_2400_CODPOINTS,LUA_MENU_STORE_2400_CODPOINTS_SHORT,LUA_MENU_STORE_2400_CODPOINTS_LONG,,
product,2400codpointsB,134217757,igs_cod_points_2400,codpoints,all,0,igs2400,768,1024,,,1,LUA_MENU_STORE_2400_CODPOINTS,LUA_MENU_STORE_2400_CODPOINTS_SHORT,LUA_MENU_STORE_2400_CODPOINTS_LONG,,
product,5000codpoints,134217760,igs_cod_points_5000,codpoints,all,0,,,,,,1,LUA_MENU_STORE_5000_CODPOINTS,LUA_MENU_STORE_5000_CODPOINTS_SHORT,LUA_MENU_STORE_5000_CODPOINTS_LONG,,
product,9500codpoints,134217763,igs_cod_points_9500,codpoints,all,0,,,,,,1,LUA_MENU_STORE_9500_CODPOINTS,LUA_MENU_STORE_9500_CODPOINTS_SHORT,LUA_MENU_STORE_9500_CODPOINTS_LONG,,
product,13000codpoints,134217766,igs_cod_points_13000,codpoints,all,0,,,,,,1,LUA_MENU_STORE_13000_CODPOINTS,LUA_MENU_STORE_13000_CODPOINTS_SHORT,LUA_MENU_STORE_13000_CODPOINTS_LONG,,
product,seasonpass,683100,igs_season_pass,seasonpass,all,0,,,,,,0,LUA_MENU_STORE_SEASONPASS,LUA_MENU_STORE_SEASONPASS_SHORT,LUA_MENU_STORE_SEASONPASS_LONG_STEAM,,
product,codepack,729160,igs_code_pack,codepack,english,0,,,,,,0,LUA_MENU_STORE_CODE_PACK,LUA_MENU_STORE_CODE_PACK_SHORT,LUA_MENU_STORE_CODE_PACK_LONG,,
product,codepack2,848790,igs_code_pack_2,codepack2,english,0,,,,,,0,LUA_MENU_DLC2_STORE_CODEPACK2,LUA_MENU_DLC2_STORE_CODEPACK2_SHORT,LUA_MENU_DLC2_STORE_CODEPACK2_LONG,,
product,standard,476600,mwr_igs_stronghold_588x464,standard,all,0,,,,,,0,LUA_MENU_STORE_CODWWII,LUA_MENU_STORE_CODWWII_SHORT,LUA_MENU_STORE_CODWWII_LONG,,
product,deluxe,476600,mwr_igs_digitaldeluxe_588x464,deluxe,all,0,,,,,,0,LUA_MENU_STORE_CODWWII_DELUXE,LUA_MENU_STORE_CODWWII_DELUXE_SHORT,LUA_MENU_STORE_CODWWII_DELUXE_LONG,,
category,featured,1,LUA_MENU_STORE_FEATURED,all,0,,,,0,dlc1,1100codpoints,2400codpoints,2400codpointsB,seasonpass,13000codpoints,5000codpoints,
category,codpoints,2,LUA_MENU_STORE_CODPOINTS,all,0,,,,0,2400codpointsB,200codpoints,1100codpoints,2400codpoints,5000codpoints,9500codpoints,13000codpoints,
category,seasonpass,3,LUA_MENU_STORE_SEASONPASS,all,0,,,,0,seasonpass,,,,,,,
category,misc,4,LUA_MENU_STORE_EXTRAS,all,0,,,,0,codepack,codepack2,,,,,,
category,upsell,5,LUA_MENU_STORE_FEATURED,all,0,,,,0,deluxe,standard,,,,,,
