1,MP_ORIGINAL_MAPS,,0,0,0x0,,,,,OriginalMaps,0,,,0,
2,CODWWIICARENTAN1,dlc0,0,0,0x0,850c13e3-1297-4fd1-9bb8-e09a18593115,,MPUI_CARENTAN,,Dlc00,0,,696892,1,
3,CODWWIIMAPPACK01,dlc1,0,0,0x0,8275b25d-58f9-4e9b-b895-649f0e852982,,LUA_MENU_DLC1_NAME,,Dlc01,0,,631290,1,
4,CODWWIIMAPPACK02,dlc2,0,0,0x0,7ecc4033-979f-4b64-b9be-a5cab1a20ae2,,LUA_MENU_DLC2_NAME,,Dlc02,0,,631291,1,
5,CODWWIIMAPPACK03,dlc3,0,0,0x0,63fa621f-7986-498b-b8fb-97e76ce7fd15,,LUA_MENU_DLC3_NAME,,Dlc03,0,,631292,1,
6,CODWWIIMAPPACK04,dlc4,0,0,0x0,04b6d45d-6d5c-4b62-a38e-45b3ce9232c6,,LUA_MENU_DLC4_NAME,,Dlc04,0,,631293,1,
7,WW2SP1,seasonpass,0,1,0x800027,33a4f350-a729-4d95-aa6b-ea3e3a093eb9,,DLC_SEASONPASS,,Dlc05,0,,683100,1,
8,WW2CP0,200codpoints,0,1,0x0,7d0b81be-3578-4837-8dbb-410871c70526,,CODPOINTS,,200CoDPoints,1,,0,1,
9,WW2CP1,1100codpoints,0,1,0x0,cd61dc9c-dd5d-479f-9eed-fdb11a6c876b,,CODPOINTS,,200CoDPoints,1,,0,1,
10,WW2CP2,2400codpoints,0,1,0x0,87b7ccd3-0b55-4b26-a990-9432ae45c711,,CODPOINTS,,2400CoDPoints,1,,0,1,
11,WW2CP3,5000codpoints,0,1,0x0,b8cc3660-d98f-4eb9-817f-4a7d362d17bd,,CODPOINTS,,5000CoDPoints,1,,0,1,
12,WW2CP4,9500codpoints,0,1,0x0,2c8c50ba-031a-4e44-b0b3-8a4d89a9b8ad,,CODPOINTS,,9500CoDPoints,1,,0,1,
13,WW2CP5,13000codpoints,0,1,0x0,064b3f11-3ee7-4994-98c4-07c76164580d,,CODPOINTS,,13000CoDPoints,1,,0,1,
14,CODE01,mdlc1,0,1,0x800093,b7a59869-c862-4f2c-96f2-c69e92c532e5,,CODE_PACK,,CodePack,0,,0,1,
15,WW2PO2,mdlc2,0,1,0x800091,f46a99ae-94a5-492d-b0a8-9bb0c3d0edc0,,DIVISIONS_PO,,DivisionsPO,0,,696890,1,
16,WW2PO3,mdlc3,0,1,0x800092,ca0d6876-9cd7-484e-84a3-5d883a96fdac,,ZOMBIES_PO,,ZombiesPO,0,,696891,1,
17,WW2DIG,digitalcontentpack,0,1,0x80006A,,,DIGITAL_PURCHASE_PACK,,DigitalContentPack,0,,716450,1,
18,WW2PO1,digitalpreorder,0,1,0x80006B,,,DIGITAL_PREORDER_PACK,,DigitalPO,0,,,1,
19,,standardpo,0,1,0x800095,cb2af416-e0b2-46cb-9630-2a1534e1c16d,,STANDARD_PO,,StandardPO,0,,,1,
20,,digitaldeluxe,0,1,0x800096,ca228a22-67af-49e5-977f-a80b93eaf33c,,DIGITAL_DELUXE,,DigitalDeluxe,0,,,1,
21,,basegame,0,1,0x800094,bf5600f1-d0eb-4edc-b0cd-110f2b0c9a84,,BASE_GAME,,BaseGame,0,,,1,
22,,tokenprointl,0,1,0x800098,0ff13cf6-a6f8-4475-88c4-745d31d9508f,,TOKEN_PRO_INTL,,TokenProIntl,0,,,1,
23,,tokenprous,0,1,0x800097,659e0376-8e06-4abd-82d7-7aaf011fe881,,TOKEN_PRO_US,,TokenProUS,0,,,1,
24,,basegamedestiny2,0,1,0x8000DC,4b8e2a40-7ff2-4c02-8bca-e108ffe9b352,,BASE_GAME_DESTINY2,,BaseGameDestiny2,0,,,1,
25,,digitaldeluxedestiny2,0,1,0x8000DD,7bdb013d-8463-4973-a45f-6b219b11f0c6,,DIGITAL_DELUXE_DESTINY2,,DigitalDeluxeDestiny2,0,,,1,
26,CODE02,mdlc4,0,1,0x80013A,fb05b337-62f5-440c-9fb5-621764f6ae1a,,CODE_PACK_2,,CodePack2,0,,0,1,
27,MTX05A,starterpack,0,1,0x80016C,af4c0e89-74ed-45f7-ab6d-d83ecd39e6d0,,STARTER_PACK,,StarterPack,0,,,1,
28,MTX05B,butcherbundle,0,1,0x800169,1c833cf1-db4f-4271-98bf-c5ce7ee7ed15,,BUTCHER_BUNDLE,,ButcherBundle,0,,,1,
29,MTX06A,libertystrikestarterpack,0,1,0x800192,a12a5641-97c6-4086-b950-18a447fc28ea,,LIBERTYSTRIKE_STARTERPACK,,LibertyStrikeStarterPack,0,,,1,
30,MTX06B,libertystrikebundle,0,1,0x800193,562bd4bc-2db0-4e2b-8523-bcf7172c9c29,,LIBERTYSTRIKE_BUNDLE,,LibertyStrikeBundle,0,,,1,
31,MTX07A,summerstarter,0,1,0x8001C2,8549b782-1759-4bb5-b060-aa99b767d9fe,,SUMMER_STARTER,,SummerStarter,0,,,1,
32,MTX07B,summerbundle,0,1,0x8001C3,479cb544-e5b4-46eb-bc7b-cc4a604e8721,,SUMMER_BUNDLE,,SummerBundle,0,,,1,
